endTime,artistName,trackName,msPlayed,genres
2023-02-22 14:19,Nirvana,Something In The Way,34506,"['grunge', 'permanent wave', 'rock']"
2023-02-22 14:19,Ellie Goulding,This Love (Will Be Your Downfall),47328,"['indietronica', 'metropopolis', 'pop', 'uk pop']"
2023-02-22 14:19,Talking Heads,Pull up the Roots - 2005 Remaster,1045,"['alternative rock', 'art punk', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']"
2023-02-22 14:20,AC/DC,Beating Around the Bush,543,"['australian rock', 'hard rock', 'rock']"
2023-02-22 14:21,Rod Stewart,Body Wishes - 2008 Remaster,0,"['mellow gold', 'soft rock']"
2023-02-22 14:21,Bonnie Tyler,Total Eclipse of the Heart,2826,"['europop', 'new wave pop', 'soft rock']"
2023-02-22 14:21,Sia,Elastic Heart - Piano Version,0,"['australian dance', 'australian pop', 'pop']"
2023-02-22 14:21,Melanie Martinez,Pity Party,0,"['alt z', 'electropop', 'pop']"
2023-02-22 14:21,Kool & The Gang,Open Sesame,0,"['disco', 'funk', 'motown', 'soft rock', 'soul']"
2023-02-22 14:21,Nirvana,Polly - Live At Del Mar B-Side,640,"['grunge', 'permanent wave', 'rock']"
2023-02-22 14:21,Outkast,Vibrate,0,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']"
2023-02-22 14:21,Survivor,I'm Not That Man Anymore,0,"['album rock', 'glam metal', 'hard rock', 'soft rock']"
2023-02-22 14:21,Husky,Hundred Dollar Suit,202,['nashville sound']
2023-02-22 14:21,Nirvana,Scentless Apprentice,68394,"['grunge', 'permanent wave', 'rock']"
2023-02-22 14:21,Madonna,Into the Groove - Edit,266,"['dance pop', 'pop']"
2023-02-22 14:21,Britney Spears,Overprotected - Radio Edit,1397,"['dance pop', 'pop']"
2023-02-22 14:24,Yiruma,Embrace of Silence,173000,"['korean instrumental', 'neo-classical', 'new age piano']"
2023-02-22 14:29,Sungha Jung,Zen Zen Zense,288339,"['acoustic guitar cover', 'fingerstyle', 'viral pop']"
2023-02-22 14:33,Andy McKee,Africa,256520,"['fingerstyle', 'instrumental bluegrass']"
2023-02-22 14:50,Eiro Nareth,Careless Whisper,85,['acoustic guitar cover']
2023-02-22 14:54,Mac Miller,Jet Fuel,5249,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']"
